u abs_error rel_error
5.3125e-3 7.61580822176380520766400790335965642426957913413198605669208935469928394e-3 0.99630788301350592352247669214467641306005943373633594033607535997631304
5.625e-3 8.060780323721583895090000597336885166356563408567869241467782168809523525e-3 0.996090091555976399136334675193990371293570029557623589751288449663931124
5.9375e-3 8.50541779670338829067758721019641926843709139144493314984692783901040159e-3 0.9958722325976059821984342440583126184512498490872264284501676884965895384
6.25e-3 8.94972072725463186579813190510947727502035838411523111697906026916421782e-3 0.995654306148850078630726531568331287878962829878408652834171100158523428
6.5625e-3 9.39368920184010823504223543888985349241346268392502416475875954286095664e-3 0.9954363122201576067191847759880069179552722394617189803400878707599964
6.875e-3 9.83732330684409125848268045422660789718159622181189718001428021287924005e-3 0.9952182508219710034880995314190933069043433868036228399684164962934206844
7.1875e-3 1.02806231285704349886196610716452739218716932512126568078654539900065738e-2 0.995000121964726231065943500119538614424940457190811241969116087409421978
7.5e-3 1.072358875324267346229739445346880544779593733825681429624945629025632527e-2 0.994781925658852783042819916154037955521349790569769177954007024042663532
7.8125e-3 1.116622026700412033788058441588394072810959436002979408118236514627123175e-2 0.9945636619147736908195083822675706265511099818680911956941116769205971627
8.125e-3 1.160851775591796837797858112563959596247436772500856875578536344266375006e-2 0.994345330742905529948122034408532792788731749780010030384363291553243015
8.4375e-3 1.205048130596738877800445643056937174160639224129533988722946787033512806e-2 0.994126932153658426464389880926904690554272571584025785378862352784114365
8.75e-3 1.249211100305563034085559143371177143230845092151462671747585413033110405e-2 0.993908466157436063211578136134605379222035952696336183886495852521328404
9.0625e-3 1.293340693300611849800175152498420876319767378486636475280226184505076387e-2 0.993689932764635686156064340639623525929109657831833603138179587220573404
9.375e-3 1.337436918156255417726600422784860083994345898177409065337739943532694065e-2 0.9934713319856481106945780336525058063715774374469815384046010823141651406
9.6875e-3 1.3814997834389012517583216896898896971383603286717551145008831223244591404e-2 0.9932526638308577279531217153131719260779055153836599205868588003210202757
1e-2 1.425529297707004143102025451152914806518875291875604015613625379144217985e-2 0.9930339283106425110775858099976441533437866787432520264793007018554287774
