x abs_error rel_error
-1.0625e-2 1.10972502070651252404927177999144686441482263452141168546750778680868207e-23 1.044466729951409820157632606167623406631948570069853276008561460241364616e-21
-1e-2 9.25184947893075177370454873222490122278369577362129919414067468236320705e-24 9.25200367822105698718171293002251325115318359944678808914244009001119677e-22
-9.375e-3 7.62328938185171479235034663265883123739042056681045539990842520022979738e-24 8.13162778909314792605641308114231513229983760863569624930460845970734215e-22
-8.75e-3 6.198017064352027981682758193138416718250584257543700456970091215580681885e-24 7.083538462101406223697443384562781056833220609649309025538508714281935547e-22
-8.125e-3 4.962479853841357345442489310709257531810393252181728837515212302953797123e-24 6.10773471318572089876329376899514071275042970738364947803925962792732313e-22
-7.5e-3 3.90312518236917899545184237584264376654729490231061871653972388322871978e-24 5.204215699210531745316727961335035453457977556809871875826646810466508825e-22
-6.875e-3 3.006400538507581718065837222988925844229495555013553949562019959666926743e-24 4.372980686358673719127617337298598980712304634946865877802047986071904774e-22
-6.25e-3 2.258753437344519617293692896908509565151804791349346970890383832476777785e-24 3.614029028540097899496039028902347237068497880005375748756280261327157875e-22
-5.625e-3 1.646631402675361660378978390387494090845834212946700804854045196756280769e-24 2.927360153093694753689583571702153960493481404027020627403641921243298393e-22
-5e-3 1.156481957140407963494858957024814270578160911549302699576427158655407618e-24 2.312973551658567774277896808442787745413898682104284265777151031586190379e-22
-4.375e-3 7.747526173378586050157511937193106996302110158977962172255741348244839906e-25 1.770868774594126752152503368385567538028356633145310855119734423185564112e-22
-3.75e-3 4.878908919080568995704956964836899457190792834556268126616839006529464333e-25 1.301045427744562285760845217512551332783391328761855106637820259442852683e-22
-3.125e-3 2.82344281292528447300252411784891199944006262274622669955405427650514724e-25 9.03503170680898188494932984670194368058508767677070253654771406009760648e-23
-2.5e-3 1.445602783715586883010517458799971637751708347263264923500555447074009557e-25 5.782417158211671705561511499984523937394133891866085891003587390320040037e-23
-1.875e-3 6.09863695222696803356590334510806121485531941351091565625516859971696609e-26 3.25260828034587887476360430394634574072619764555688072441616029428942463e-23
-1.25e-3 1.807003585516163834303923605879307923640277792513706110540420489378215805e-26 1.445603244872080008675093206860001591011995636198637992410570302889989143e-23
-6.25e-4 2.25875451498239288562430243639459909011791888938712440496332321364616488e-27 3.61400745925876798371017631717339980499387146766732446001518872105391758e-24
0 0 0
