x abs_error
-0.2199114857512855266923850368295652018938018579562574074682461 4.93188765680268815495264772602369288635262720313452219002234e-9
-0.2042035224833365605000718199131676874728160109593818783633714 2.936030535853232602183686540962786602169604204520156413075821e-9
-0.1884955592153875943077586029967701730518301639625063492584966 1.676729578862707863770752134948653894155071569048001038735376e-9
-0.172787595947438628115445386080372658630844316965630820153622 9.11963224887462924990626169000191639548826317128667506205368e-10
-0.1570796326794896619231321691639751442098584699687552910487473 4.68015008329822298188405210942804093487728738499099105400376e-10
-0.1413716694115406957308189522475776297888726229718797619438725 2.238647020383495172296171371309881065092462222909610791960213e-10
-0.1256637061435917295385057353311801153678867759750042328389978 9.81619695236886790265401436078623224601181201662710463469044e-11
-0.10995574287564276334619251841478260094690092897812870373412305 3.854978478966380960805538952782846735488900716485902609151046e-11
-9.42477796076937971538793014983850865259150819812531746292483e-2 1.31042985093170949002225242976983177106185426615888043767348e-11
-7.853981633974483096156608458198757210492923498437764552437364e-2 3.65730707410046917602484598068293397426065974975469574035409e-12
-6.28318530717958647692528676655900576839433879875021164194989e-2 7.67016540346095019637723859471761837433506928199020923336225e-13
-4.712388980384689857693965074919254326295754099062658731462415e-2 1.023868050393310599108042787975210814968697545485782520338149e-13
-3.141592653589793238462643383279502884197169399375105820974945e-2 5.992563148058348072213887708622661236071725562165037714886944e-15
-1.570796326794896619231321691639751442098584699687552910487472e-2 4.68173809123619774013373518188216759572348038038741326917961e-17
1.715008573485562888909082616062198893269537287369212156537383e-32373 [0;7.10230703717348888481975993656772228229447170618023297043648e-48560]
1.570796326794896619231321691639751442098584699687552910487472e-2 4.68173809123619774013373518188216759572348038038741326917961e-17
3.141592653589793238462643383279502884197169399375105820974945e-2 5.992563148058348072213887708622661236071725562165037714886944e-15
4.712388980384689857693965074919254326295754099062658731462415e-2 1.023868050393310599108042787975210814968697545485782520338149e-13
6.28318530717958647692528676655900576839433879875021164194989e-2 7.67016540346095019637723859471761837433506928199020923336225e-13
7.853981633974483096156608458198757210492923498437764552437364e-2 3.65730707410046917602484598068293397426065974975469574035409e-12
